Reel ID,Product ID,User ID,Category,Hashtags,Keywords,Visual Features,Likes,Shares,Comments,Purchase Count
reel_65,product_843,user_14,Electronics,"#discount, #sale","exclusive, innovative",colorful,273,153,62,108
reel_66,product_776,user_56,Electronics,#discount,"exclusive, innovative, stylish",vintage,387,249,242,75
reel_67,product_230,user_127,Home Decor,#discount,innovative,luxury,600,161,106,29
reel_68,product_33,user_110,Home Decor,"#discount, #new, #sale","stylish, popular",colorful,315,437,225,57
reel_69,product_316,user_66,Fashion,"#trending, #sale, #shopnow","stylish, innovative, affordable",vintage,13,117,217,116
reel_70,product_268,user_199,Sports,"#shopnow, #discount, #sale","innovative, stylish, popular",minimalistic,241,258,240,158
reel_71,product_211,user_107,Home Decor,"#shopnow, #sale, #discount","stylish, affordable, exclusive",vintage,776,378,258,99
reel_72,product_943,user_91,Sports,#trending,"exclusive, innovative",minimalistic,345,305,261,191
reel_73,product_877,user_122,Sports,#trending,"stylish, exclusive, popular",colorful,564,267,4,18
reel_74,product_315,user_20,Electronics,#discount,"exclusive, innovative",luxury,897,448,260,175
reel_75,product_656,user_141,Home Decor,#new,innovative,modern,339,53,53,172
reel_76,product_396,user_171,Home Decor,"#trending, #new, #shopnow","affordable, popular",luxury,91,235,46,93
reel_77,product_915,user_131,Electronics,"#shopnow, #discount","stylish, innovative",colorful,366,388,214,182
reel_78,product_459,user_154,Fashion,"#sale, #shopnow, #discount","innovative, stylish",colorful,955,477,176,112
reel_79,product_265,user_145,Electronics,"#discount, #shopnow","innovative, affordable, stylish",minimalistic,454,221,8,182
reel_80,product_247,user_44,Sports,#discount,affordable,vintage,427,250,98,145
reel_81,product_562,user_91,Home Decor,"#shopnow, #new, #trending",popular,luxury,508,312,19,62
reel_82,product_263,user_46,Home Decor,#new,affordable,modern,775,400,240,115
reel_83,product_585,user_68,Fashion,"#sale, #new, #shopnow","innovative, popular, stylish",vintage,942,111,60,112
reel_84,product_898,user_91,Electronics,"#sale, #trending","stylish, innovative, exclusive",colorful,34,254,177,46
reel_85,product_400,user_84,Electronics,"#trending, #shopnow, #new","exclusive, popular, stylish",modern,205,302,61,56
reel_86,product_220,user_20,Sports,#trending,popular,modern,80,406,144,117
reel_87,product_998,user_86,Home Decor,"#discount, #sale",stylish,minimalistic,931,206,215,44
reel_88,product_510,user_134,Beauty,"#sale, #discount, #shopnow",innovative,luxury,561,228,2,160
reel_89,product_91,user_75,Beauty,"#trending, #sale, #discount",exclusive,colorful,871,340,159,144
reel_90,product_48,user_31,Electronics,"#shopnow, #new","popular, exclusive",modern,387,397,226,197
reel_91,product_110,user_185,Sports,"#new, #discount, #trending","innovative, exclusive, stylish",luxury,1,65,268,3
reel_92,product_628,user_14,Sports,"#discount, #new","affordable, popular, innovative",vintage,389,74,119,147
reel_93,product_793,user_167,Beauty,#discount,innovative,minimalistic,565,434,88,46
reel_94,product_423,user_19,Home Decor,"#shopnow, #discount","stylish, innovative, affordable",luxury,105,102,67,142
reel_95,product_64,user_20,Fashion,"#sale, #shopnow, #new","exclusive, stylish",minimalistic,771,421,97,197
reel_96,product_382,user_148,Beauty,"#new, #shopnow, #trending","affordable, exclusive, innovative",luxury,821,191,266,46
reel_97,product_997,user_163,Fashion,"#sale, #discount, #shopnow",exclusive,vintage,476,251,104,77
reel_98,product_530,user_112,Beauty,"#new, #shopnow",innovative,colorful,702,225,122,123
reel_99,product_972,user_118,Home Decor,"#new, #shopnow",exclusive,luxury,401,293,28,74
reel_100,product_861,user_113,Sports,#trending,exclusive,colorful,729,305,136,102
reel_101,product_12,user_66,Home Decor,"#trending, #sale, #new","exclusive, innovative",modern,555,97,194,136
reel_102,product_721,user_25,Beauty,"#new, #trending","innovative, affordable",modern,161,337,225,89
reel_103,product_682,user_71,Fashion,"#sale, #discount, #trending",innovative,vintage,201,285,169,143
reel_104,product_537,user_134,Fashion,"#discount, #shopnow",innovative,vintage,957,334,8,68
reel_105,product_267,user_151,Sports,"#sale, #trending","popular, exclusive, stylish",modern,995,346,39,60
reel_106,product_641,user_174,Sports,"#trending, #discount",stylish,minimalistic,269,434,24,137
reel_107,product_112,user_145,Beauty,"#new, #shopnow, #sale",affordable,modern,862,446,260,49
reel_108,product_435,user_194,Beauty,"#shopnow, #trending, #discount","innovative, popular",modern,815,481,225,2
reel_109,product_454,user_121,Home Decor,#discount,"affordable, popular",colorful,270,307,123,106
reel_110,product_954,user_71,Sports,#new,stylish,minimalistic,455,248,37,112
reel_111,product_876,user_116,Electronics,"#shopnow, #trending, #new","stylish, innovative, exclusive",colorful,461,165,250,93
reel_112,product_264,user_43,Beauty,"#sale, #trending",popular,modern,726,480,175,117
reel_113,product_501,user_132,Fashion,"#trending, #new","stylish, exclusive, popular",colorful,251,471,89,197
reel_114,product_179,user_45,Home Decor,"#new, #shopnow","popular, affordable, innovative",luxury,701,334,36,80
reel_115,product_913,user_22,Electronics,"#shopnow, #new",affordable,minimalistic,295,29,175,108
reel_116,product_871,user_170,Beauty,"#sale, #discount",stylish,vintage,724,246,283,50
reel_117,product_299,user_74,Beauty,#shopnow,"innovative, stylish",minimalistic,719,105,80,146
reel_118,product_639,user_153,Beauty,"#shopnow, #sale, #trending",popular,modern,748,50,113,169
reel_119,product_609,user_115,Home Decor,#shopnow,popular,colorful,337,80,39,34
reel_120,product_153,user_162,Home Decor,#discount,stylish,colorful,878,132,223,45
reel_121,product_763,user_170,Fashion,"#new, #discount, #sale","exclusive, popular",minimalistic,52,284,114,153
reel_122,product_540,user_195,Home Decor,#trending,popular,luxury,791,387,185,68
reel_123,product_779,user_164,Fashion,#new,innovative,vintage,921,137,55,92
reel_124,product_531,user_123,Home Decor,"#shopnow, #discount","popular, innovative, exclusive",luxury,216,183,39,63
reel_125,product_1,user_129,Electronics,#new,"innovative, popular",minimalistic,763,400,39,164
reel_126,product_325,user_6,Sports,"#trending, #sale, #shopnow","innovative, affordable, exclusive",minimalistic,187,329,236,48
reel_127,product_20,user_186,Fashion,"#trending, #new",affordable,vintage,379,272,288,148
reel_128,product_930,user_166,Sports,"#sale, #shopnow, #trending",stylish,minimalistic,492,339,261,73
reel_129,product_879,user_54,Beauty,"#trending, #shopnow","exclusive, stylish, innovative",colorful,40,471,215,191
reel_130,product_832,user_37,Sports,"#trending, #discount, #sale",stylish,minimalistic,156,68,146,4
reel_131,product_308,user_141,Sports,#shopnow,"popular, exclusive",modern,14,33,167,99
reel_132,product_58,user_62,Fashion,"#discount, #shopnow",affordable,vintage,812,261,91,69
reel_133,product_879,user_68,Fashion,"#discount, #shopnow",affordable,luxury,64,52,58,89
reel_134,product_947,user_2,Fashion,#sale,"innovative, exclusive, affordable",minimalistic,856,449,58,3
reel_135,product_86,user_174,Fashion,"#trending, #new, #sale","innovative, stylish, exclusive",luxury,838,204,168,125
reel_136,product_486,user_114,Home Decor,"#shopnow, #trending","popular, innovative, affordable",luxury,520,125,268,38
reel_137,product_70,user_81,Sports,#sale,"popular, affordable",colorful,343,234,44,162
reel_138,product_761,user_29,Electronics,"#trending, #shopnow, #new",popular,modern,128,42,180,128
reel_139,product_766,user_127,Electronics,"#new, #trending","innovative, exclusive, popular",vintage,647,239,169,23
reel_140,product_129,user_7,Electronics,#discount,"exclusive, innovative",luxury,471,458,190,56
reel_141,product_476,user_150,Home Decor,"#shopnow, #new, #sale","innovative, stylish, exclusive",colorful,62,370,154,99
reel_142,product_550,user_44,Home Decor,#sale,stylish,minimalistic,138,110,187,69
reel_143,product_266,user_84,Sports,"#new, #discount","exclusive, stylish",luxury,498,248,6,40
reel_144,product_873,user_69,Electronics,"#shopnow, #new, #trending","exclusive, popular",luxury,592,150,132,181
reel_145,product_424,user_75,Beauty,"#trending, #new, #shopnow","stylish, popular",minimalistic,391,182,234,173
reel_146,product_212,user_145,Sports,"#trending, #shopnow","innovative, stylish",minimalistic,674,335,44,59
reel_147,product_540,user_156,Beauty,"#sale, #trending","stylish, popular, exclusive",modern,418,94,248,107
reel_148,product_730,user_114,Sports,#trending,affordable,colorful,288,458,30,187
reel_149,product_202,user_17,Beauty,#sale,"innovative, stylish",minimalistic,378,373,22,56
reel_150,product_312,user_11,Fashion,"#shopnow, #trending, #sale",popular,minimalistic,772,399,159,30
reel_151,product_996,user_32,Electronics,"#sale, #discount","affordable, innovative, exclusive",modern,489,7,157,83
reel_152,product_650,user_124,Home Decor,"#new, #sale, #shopnow","exclusive, stylish",vintage,230,387,38,151
reel_153,product_439,user_135,Fashion,#sale,"popular, innovative",modern,40,359,81,35
reel_154,product_518,user_55,Fashion,"#sale, #shopnow, #new","popular, innovative, exclusive",luxury,27,387,257,157
reel_155,product_122,user_133,Fashion,#discount,"popular, stylish, affordable",minimalistic,134,183,205,151
reel_156,product_225,user_98,Home Decor,"#discount, #sale",popular,vintage,200,280,76,107
reel_157,product_339,user_89,Home Decor,"#new, #discount, #shopnow","affordable, stylish, innovative",colorful,839,194,11,105
reel_158,product_589,user_55,Beauty,#trending,"affordable, innovative",colorful,779,351,294,157
reel_159,product_231,user_151,Home Decor,"#sale, #new, #trending","stylish, affordable, popular",vintage,929,194,223,85
reel_160,product_221,user_23,Sports,"#sale, #new, #discount",exclusive,colorful,32,154,12,134
reel_161,product_71,user_86,Fashion,"#trending, #discount, #sale","affordable, stylish, popular",minimalistic,47,92,45,162
reel_162,product_632,user_57,Home Decor,"#shopnow, #sale, #trending","affordable, popular",colorful,502,159,154,182
reel_163,product_229,user_136,Fashion,#sale,"stylish, affordable, innovative",minimalistic,406,433,112,13
reel_164,product_906,user_98,Electronics,"#trending, #shopnow",exclusive,minimalistic,573,60,232,119
reel_165,product_860,user_134,Sports,"#shopnow, #trending","stylish, innovative, exclusive",minimalistic,727,121,16,137
reel_166,product_71,user_10,Sports,"#discount, #new","innovative, stylish",colorful,804,50,222,79
reel_167,product_239,user_80,Home Decor,#sale,"popular, innovative, affordable",minimalistic,98,402,187,143
reel_168,product_669,user_120,Fashion,"#discount, #trending, #new",affordable,modern,683,276,162,181
reel_169,product_215,user_2,Fashion,"#new, #trending","affordable, popular",modern,871,4,73,105
reel_170,product_133,user_61,Sports,#sale,"stylish, exclusive",minimalistic,725,465,232,69
reel_171,product_936,user_43,Sports,"#sale, #shopnow, #new","affordable, popular",minimalistic,986,91,223,43
reel_172,product_572,user_28,Home Decor,"#discount, #trending, #sale","exclusive, stylish",modern,546,169,59,72
reel_173,product_473,user_52,Fashion,"#sale, #shopnow, #trending","exclusive, affordable",colorful,960,316,221,44
reel_174,product_785,user_66,Sports,"#trending, #discount, #shopnow","exclusive, affordable",vintage,738,21,36,183
reel_175,product_808,user_2,Electronics,"#discount, #sale","stylish, innovative, popular",vintage,612,404,277,106
reel_176,product_191,user_150,Sports,#trending,stylish,luxury,942,325,195,83
reel_177,product_97,user_36,Home Decor,#new,"innovative, affordable",minimalistic,461,0,241,81
reel_178,product_432,user_77,Beauty,"#new, #discount",stylish,minimalistic,642,132,218,106
reel_179,product_424,user_141,Beauty,"#sale, #shopnow, #discount",affordable,minimalistic,768,232,191,184
reel_180,product_468,user_101,Electronics,#trending,innovative,vintage,4,11,16,20
reel_181,product_730,user_167,Fashion,"#trending, #new, #shopnow","innovative, exclusive",minimalistic,217,345,11,195
reel_182,product_674,user_162,Fashion,"#shopnow, #new","stylish, affordable, innovative",modern,502,45,192,177
reel_183,product_985,user_15,Electronics,"#sale, #new, #trending","exclusive, innovative, popular",minimalistic,766,33,21,160
reel_184,product_99,user_173,Sports,#sale,"popular, exclusive",luxury,397,432,119,6
reel_185,product_403,user_9,Electronics,"#discount, #shopnow","stylish, affordable, exclusive",luxury,870,77,209,69
reel_186,product_340,user_4,Sports,"#discount, #shopnow",stylish,modern,794,217,269,126
reel_187,product_862,user_185,Electronics,"#trending, #sale",exclusive,vintage,392,300,191,142
reel_188,product_249,user_173,Beauty,#sale,"affordable, popular, exclusive",minimalistic,206,410,174,159
reel_189,product_191,user_116,Fashion,#sale,"affordable, popular",luxury,14,72,284,147
reel_190,product_449,user_115,Sports,"#shopnow, #discount","exclusive, popular, innovative",vintage,857,281,203,142
reel_191,product_422,user_142,Beauty,"#discount, #trending, #new","exclusive, innovative",colorful,553,248,163,175
reel_192,product_279,user_84,Home Decor,"#new, #sale","innovative, affordable",luxury,891,46,250,198
reel_193,product_250,user_24,Sports,"#trending, #discount, #shopnow",popular,vintage,460,120,226,148
reel_194,product_924,user_5,Fashion,#discount,"affordable, stylish",vintage,690,213,6,169
reel_195,product_444,user_65,Home Decor,"#sale, #shopnow",affordable,minimalistic,574,238,28,153
reel_196,product_862,user_161,Sports,"#new, #sale","popular, innovative",vintage,863,55,32,119
reel_197,product_551,user_124,Electronics,"#shopnow, #trending, #new","innovative, affordable, stylish",vintage,742,349,133,127
reel_198,product_51,user_167,Beauty,"#shopnow, #sale",innovative,vintage,240,106,78,141
reel_199,product_1000,user_184,Sports,"#trending, #discount",innovative,modern,563,318,57,56
reel_200,product_837,user_18,Electronics,"#discount, #trending",stylish,modern,95,47,25,164
reel_201,product_969,user_169,Beauty,"#shopnow, #sale, #discount","exclusive, innovative",vintage,899,60,225,57
reel_202,product_927,user_49,Fashion,"#trending, #discount, #shopnow","affordable, exclusive",minimalistic,733,336,284,20
reel_203,product_849,user_118,Electronics,#sale,innovative,vintage,484,25,3,81
reel_204,product_167,user_105,Sports,"#new, #trending","stylish, affordable, innovative",colorful,406,291,98,68
reel_205,product_486,user_80,Home Decor,"#new, #sale",affordable,vintage,230,256,38,130
reel_206,product_214,user_63,Electronics,"#trending, #discount, #shopnow","exclusive, innovative",vintage,748,7,270,86
reel_207,product_402,user_68,Sports,#sale,"affordable, stylish, popular",colorful,654,112,284,164
reel_208,product_59,user_67,Home Decor,"#discount, #shopnow","popular, innovative",luxury,170,354,156,48
reel_209,product_379,user_34,Beauty,#discount,"affordable, innovative",modern,540,252,74,146
reel_210,product_986,user_103,Beauty,"#new, #sale",exclusive,modern,35,179,287,114
reel_211,product_266,user_23,Fashion,"#sale, #shopnow","affordable, exclusive, innovative",minimalistic,524,206,129,88
reel_212,product_785,user_102,Beauty,"#discount, #sale","exclusive, innovative",modern,159,302,174,84
reel_213,product_456,user_182,Beauty,"#shopnow, #sale, #discount","popular, affordable, exclusive",minimalistic,838,126,83,127
reel_214,product_424,user_70,Beauty,"#shopnow, #new, #discount",popular,luxury,698,55,21,139
reel_215,product_958,user_146,Fashion,"#trending, #discount, #shopnow",innovative,vintage,242,213,26,188
reel_216,product_996,user_164,Fashion,"#sale, #trending","exclusive, stylish, innovative",vintage,85,13,194,168
reel_217,product_556,user_164,Beauty,"#new, #discount",popular,luxury,795,473,235,160
reel_218,product_719,user_48,Beauty,"#new, #discount, #sale","innovative, popular, exclusive",vintage,577,27,91,177
reel_219,product_155,user_30,Beauty,#trending,affordable,luxury,681,470,20,116
reel_220,product_297,user_40,Electronics,#new,exclusive,vintage,556,77,83,195
reel_221,product_969,user_121,Fashion,"#new, #shopnow","innovative, exclusive, popular",modern,573,215,261,126
reel_222,product_580,user_153,Fashion,"#sale, #shopnow, #discount",stylish,modern,952,385,146,70
reel_223,product_543,user_132,Electronics,"#trending, #discount",exclusive,vintage,645,364,256,85
reel_224,product_748,user_36,Electronics,#new,"stylish, popular",colorful,795,153,57,32
reel_225,product_58,user_155,Electronics,"#trending, #shopnow, #sale",popular,luxury,27,13,14,80
reel_226,product_585,user_99,Fashion,"#trending, #discount","exclusive, stylish",minimalistic,619,186,161,151
reel_227,product_503,user_151,Fashion,#new,"affordable, popular, stylish",vintage,555,311,162,60
reel_228,product_853,user_152,Home Decor,#discount,"popular, affordable, innovative",minimalistic,339,370,280,60
reel_229,product_158,user_90,Home Decor,#shopnow,"stylish, affordable",minimalistic,797,6,279,97
reel_230,product_961,user_185,Home Decor,#discount,"affordable, exclusive",minimalistic,957,2,11,27
reel_231,product_81,user_113,Fashion,"#shopnow, #trending","exclusive, stylish",colorful,330,110,273,185
reel_232,product_186,user_128,Electronics,"#sale, #shopnow",popular,colorful,639,406,270,42
reel_233,product_596,user_125,Fashion,"#discount, #shopnow, #new","popular, exclusive, innovative",modern,505,237,207,168
reel_234,product_676,user_173,Home Decor,#shopnow,popular,luxury,347,362,26,166
reel_235,product_236,user_126,Electronics,#trending,"popular, innovative, affordable",vintage,472,238,71,85
reel_236,product_120,user_31,Electronics,#discount,"stylish, innovative, exclusive",vintage,230,492,59,176
reel_237,product_891,user_14,Electronics,"#shopnow, #new, #discount","popular, affordable",vintage,189,273,144,16
reel_238,product_247,user_89,Electronics,"#discount, #trending",exclusive,vintage,224,293,92,97
reel_239,product_595,user_61,Fashion,"#discount, #new","stylish, exclusive",luxury,384,226,7,197
reel_240,product_620,user_55,Sports,"#discount, #trending","affordable, popular",vintage,376,370,78,197
reel_241,product_420,user_12,Sports,#discount,exclusive,vintage,282,14,26,97
reel_242,product_584,user_102,Sports,"#shopnow, #new, #discount","exclusive, innovative",luxury,957,191,173,64
reel_243,product_523,user_63,Home Decor,"#new, #trending, #sale",innovative,modern,632,472,49,73
reel_244,product_935,user_91,Fashion,#shopnow,"affordable, popular",colorful,627,118,198,84
reel_245,product_205,user_12,Electronics,"#new, #shopnow, #discount",affordable,vintage,972,484,180,4
reel_246,product_717,user_167,Fashion,#trending,"affordable, popular, exclusive",colorful,744,27,23,1
reel_247,product_239,user_16,Electronics,"#shopnow, #new, #discount","popular, innovative, stylish",colorful,258,201,45,21
reel_248,product_396,user_173,Home Decor,#new,innovative,vintage,358,38,14,111
reel_249,product_672,user_172,Fashion,"#discount, #shopnow, #new","affordable, popular",modern,709,440,152,56
reel_250,product_300,user_124,Home Decor,"#shopnow, #new, #trending",affordable,minimalistic,455,272,221,65
reel_251,product_317,user_102,Home Decor,#shopnow,"innovative, popular",minimalistic,410,230,205,73
reel_252,product_752,user_93,Home Decor,#sale,"innovative, stylish, popular",vintage,648,85,272,97
reel_253,product_73,user_111,Fashion,"#trending, #sale","popular, stylish",luxury,317,473,235,143
reel_254,product_459,user_159,Electronics,"#sale, #trending, #discount","affordable, popular, exclusive",luxury,676,125,227,111
reel_255,product_999,user_180,Electronics,#new,"affordable, popular",modern,224,299,8,178
reel_256,product_997,user_90,Beauty,"#new, #trending, #sale","stylish, affordable, popular",vintage,818,24,165,124
reel_257,product_74,user_162,Home Decor,"#new, #trending, #shopnow","exclusive, stylish, innovative",luxury,233,144,213,166
reel_258,product_214,user_131,Fashion,#new,exclusive,colorful,683,12,116,85
reel_259,product_266,user_65,Fashion,"#sale, #trending",innovative,vintage,663,211,71,75
reel_260,product_934,user_96,Electronics,"#shopnow, #discount, #sale","popular, innovative",vintage,974,24,63,87
reel_261,product_881,user_31,Sports,"#new, #sale, #trending","innovative, stylish",minimalistic,826,67,204,167
reel_262,product_880,user_13,Electronics,"#discount, #new","affordable, popular",minimalistic,373,393,208,37
reel_263,product_370,user_21,Beauty,"#sale, #shopnow, #new","affordable, stylish, innovative",vintage,671,66,71,187
reel_264,product_158,user_180,Sports,"#trending, #discount","exclusive, stylish",colorful,607,232,276,58
reel_265,product_834,user_69,Electronics,#new,"innovative, exclusive, stylish",luxury,471,108,273,137
reel_266,product_704,user_143,Electronics,"#shopnow, #trending, #new","innovative, affordable, exclusive",colorful,232,145,94,98
reel_267,product_612,user_101,Sports,#new,"affordable, exclusive, popular",minimalistic,691,110,165,191
reel_268,product_988,user_35,Sports,"#trending, #sale","affordable, stylish, exclusive",luxury,112,227,31,62
reel_269,product_654,user_50,Sports,#trending,"affordable, innovative, stylish",modern,829,110,10,48
reel_270,product_8,user_88,Fashion,"#shopnow, #sale, #trending",exclusive,vintage,496,469,216,191
reel_271,product_818,user_88,Electronics,#discount,"affordable, popular",minimalistic,441,33,288,31
reel_272,product_300,user_105,Sports,"#shopnow, #new","affordable, innovative",luxury,563,110,101,134
reel_273,product_664,user_32,Electronics,#trending,innovative,minimalistic,267,263,266,20
reel_274,product_939,user_75,Electronics,"#new, #sale, #trending",exclusive,modern,509,423,213,19
reel_275,product_135,user_57,Sports,"#trending, #sale",innovative,modern,806,368,178,153
reel_276,product_116,user_82,Sports,#new,"exclusive, stylish, innovative",minimalistic,385,235,87,126
reel_277,product_108,user_68,Electronics,"#sale, #new, #trending","stylish, exclusive",colorful,386,82,40,67
reel_278,product_554,user_120,Beauty,"#shopnow, #new, #sale",stylish,colorful,112,41,75,109
reel_279,product_273,user_158,Home Decor,"#new, #trending, #sale","affordable, exclusive",colorful,612,424,45,115
reel_280,product_605,user_130,Home Decor,"#sale, #trending, #discount","affordable, innovative, popular",vintage,624,100,159,142
reel_281,product_718,user_14,Electronics,"#shopnow, #discount, #sale","exclusive, affordable, stylish",vintage,951,5,79,119
reel_282,product_204,user_19,Electronics,"#trending, #shopnow","affordable, stylish, exclusive",modern,80,179,85,78
reel_283,product_635,user_136,Sports,"#new, #shopnow, #trending",innovative,colorful,698,281,91,115
reel_284,product_264,user_57,Electronics,"#trending, #discount",innovative,modern,112,319,147,91
reel_285,product_489,user_145,Fashion,"#sale, #shopnow, #new","innovative, affordable, stylish",minimalistic,1,225,160,13
reel_286,product_906,user_132,Home Decor,"#discount, #trending",innovative,vintage,641,442,201,154
reel_287,product_847,user_182,Home Decor,"#shopnow, #trending, #sale",popular,minimalistic,219,439,241,124
reel_288,product_93,user_175,Home Decor,"#new, #discount, #sale","stylish, exclusive, popular",vintage,565,314,1,167
reel_289,product_424,user_67,Beauty,"#new, #shopnow","popular, stylish",luxury,854,364,224,57
reel_290,product_277,user_117,Home Decor,#shopnow,stylish,luxury,996,453,288,27
